17-Jul,17-Aug,17-Sep,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun
40500,33100,27100,22200,22200,22200,27100,27100,27100,33100,40500,40500
5400,4400,5400,5400,5400,5400,6600,8100,6600,6600,6600,8100
49500,33100,33100,33100,33100,33100,40500,60500,90500,60500,60500,60500
74000,74000,60500,40500,40500,40500,49500,49500,33100,60500,74000,74000
5400,4400,4400,5400,6600,8100,14800,18100,18100,6600,6600,6600
2900,1600,1300,1300,1000,1000,1300,1300,2900,6600,9900,8100
6600,4400,3600,3600,3600,2900,4400,8100,14800,18100,9900,6600
18100,18100,14800,18100,14800,14800,18100,14800,14800,18100,18100,18100
320,210,140,90,90,70,30,20,30,20,10,10
1000,1000,1300,1600,1600,1600,2400,4400,2900,1600,1900,1600
3600,1900,1000,2900,2900,2400,2400,1900,2900,3600,2900,2900
33100,33100,40500,40500,40500,27100,40500,40500,40500,40500,33100,33100
590,720,590,480,480,390,480,590,590,880,720,880
260,210,210,210,260,260,480,480,590,590,590,390
2400,1600,1300,1000,880,720,1300,1300,1000,590,590,880
14800,14800,14800,14800,14800,12100,18100,14800,18100,22200,18100,18100
3600,3600,5400,2900,2900,1900,2900,2900,3600,3600,2900,2900
1000,1000,1300,1900,1900,1900,3600,5400,4400,3600,2400,1900
320,210,210,210,260,210,210,210,320,720,1000,390
140,140,170,260,140,170,390,2900,1900,480,390,320
480,320,390,390,320,320,320,320,480,880,1000,720
590,480,720,880,880,1000,2400,5400,2900,1600,1000,880
390,390,390,390,480,320,480,480,590,480,480,480
1900,1000,880,880,1000,1300,2400,3600,8100,9900,3600,1900
880,1300,880,720,590,720,880,880,1300,1900,2400,1600
6600,5400,4400,5400,6600,8100,14800,22200,18100,8100,6600,8100
1300,1000,1300,1300,1000,880,1000,1300,1300,1300,1300,1600
720,480,480,390,260,210,320,480,1000,1600,2400,2400
1300,480,70,50,50,90,170,170,480,1600,2400,1600
1900,1900,2400,2400,2900,2900,2900,2900,2900,2900,2400,2400
10,10,10,10,10,10,10,10,20,10,10,10
90,70,90,140,140,210,390,210,390,1300,1600,720
480,320,390,320,320,260,480,590,590,390,390,390
390,320,320,260,260,170,260,390,480,390,390,390
590,480,390,390,480,880,1000,720,480,720,720,880
480,480,720,880,1000,1300,1900,9900,5400,1900,2400,1600
170,260,170,140,170,110,170,170,170,170,210,210
590,590,590,480,390,390,390,320,480,720,720,720
590,590,590,480,390,480,590,590,590,880,720,880
40,20,20,30,40,40,50,30,40,70,70,50
70,40,30,10,20,10,30,20,10,10,10,10
390,320,390,390,390,320,590,880,880,590,590,480
590,590,480,480,390,480,480,480,390,480,590,590
70,70,170,320,480,720,1000,390,90,20,30,70
5400,6600,6600,6600,5400,8100,9900,165000,8100,4400,4400,4400
880,480,70,40,30,90,170,170,390,1000,1600,1000
880,480,480,390,590,480,590,1000,2400,2900,1300,720
880,210,40,20,20,30,70,90,320,880,880,880
880,720,590,590,720,720,1000,1600,1900,880,880,880
170,170,170,140,90,90,170,140,140,140,110,110
70,70,70,50,50,40,70,50,110,170,320,140
320,210,170,170,210,140,260,140,170,390,480,390
720,260,170,210,260,260,320,260,480,1300,1900,1300
480,480,390,320,320,260,320,320,390,590,720,590
480,480,590,880,720,480,320,110,30,90,140,320
50,40,40,50,70,50,140,110,170,480,590,260
0,10,10,10,0,0,0,0,0,0,0,0
320,210,170,170,170,170,210,170,260,390,590,320
210,170,170,210,170,170,260,390,390,390,320,260
390,390,210,210,170,210,210,170,210,390,720,390
320,90,20,20,10,30,50,90,260,720,590,480
320,320,260,260,260,210,320,320,260,590,590,480
170,110,140,140,140,70,110,140,170,170,170,170
210,260,320,210,260,170,320,390,320,260,210,210
2900,2400,1900,1900,2400,2400,4400,8100,8100,2900,2400,2900
320,170,140,140,140,140,170,170,260,590,880,590
320,140,140,260,210,210,210,90,90,210,880,880
70,70,70,70,70,50,70,90,140,90,90,110
480,390,390,390,320,320,390,390,390,480,390,320
170,170,170,210,210,260,320,390,590,260,260,210
720,720,590,390,390,390,390,480,590,880,1000,880
210,170,140,210,260,320,390,880,1300,720,320,320
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,10,0,10,0,0,0
70,50,70,90,90,90,390,1000,590,210,390,260
720,320,260,260,210,210,170,110,110,260,590,880
10,10,0,0,0,0,0,0,0,0,10,10
50,70,110,170,320,390,390,260,210,110,50,50
210,140,170,170,110,110,170,260,320,320,260,260
210,110,140,140,170,210,480,720,880,720,390,210
170,170,170,260,260,260,590,720,480,480,320,210
110,110,70,40,30,30,40,40,90,210,210,140
390,320,260,170,170,110,210,320,320,480,390,390
1900,1600,1300,1300,1900,1900,3600,6600,6600,2400,1900,1900
110,90,110,140,140,210,320,390,210,140,210,210
20,20,20,30,30,30,50,480,260,70,40,40
246000,246000,246000,246000,246000,201000,246000,246000,246000,246000,246000,246000
390,390,390,320,320,320,320,390,390,480,590,480
260,210,210,210,170,140,260,320,390,390,390,260
480,170,140,90,70,50,20,10,10,20,50,10
135000,110000,135000,110000,110000,90500,135000,110000,135000,135000,135000,110000
1900,1900,1600,1900,1600,1600,1900,1600,1900,1900,1900,1900
320,320,480,260,260,210,260,390,720,720,390,390
70,90,110,210,210,320,480,210,90,30,30,40
170,110,110,90,90,140,140,90,170,260,260,170
2400,1600,1600,1600,1300,1300,1600,1600,1600,1900,2900,2400
90,50,40,30,30,20,50,50,70,90,90,70
70,70,90,70,70,70,70,110,110,110,90,70
1600,1600,1300,1300,1300,1000,1600,1300,1600,1600,1900,1600
720,590,720,590,880,1000,1300,1000,1000,1000,880,720
135000,135000,135000,135000,110000,110000,135000,110000,135000,135000,135000,135000
880,720,720,720,720,720,880,880,880,1000,1000,880
390,260,210,210,170,210,210,110,110,170,390,720
210,70,30,20,20,10,10,10,10,10,10,10
260,170,140,110,110,140,170,140,140,170,260,260
246000,246000,246000,246000,201000,201000,201000,201000,246000,301000,246000,246000
49500,49500,49500,49500,49500,40500,49500,49500,60500,49500,49500,49500
590,260,170,210,210,320,390,260,90,210,880,1900
480,390,260,260,210,210,260,210,170,260,320,390
90,90,140,170,140,170,320,480,320,170,140,110
14800,14800,14800,14800,12100,12100,18100,14800,14800,14800,18100,18100
480,390,720,260,390,390,260,170,590,880,480,590
20,10,20,20,10,10,10,20,10,10,10,10
2900,3600,4400,3600,3600,2900,3600,3600,5400,4400,4400,4400
1900,1900,1900,1900,1300,1300,1300,1000,1300,2400,2400,2400
140,110,70,90,70,70,90,110,110,50,50,50
170,140,140,110,110,70,90,90,110,140,140,110
33100,33100,33100,33100,27100,33100,40500,33100,40500,40500,33100,33100
40,30,50,50,70,70,90,140,170,50,40,30
70,20,10,10,10,10,20,10,30,50,110,90
3600,1900,2400,3600,2400,2900,3600,3600,5400,4400,3600,3600
10,10,10,10,0,0,0,0,0,0,0,10
110,70,90,70,70,50,70,70,90,70,70,70
90500,90500,90500,90500,74000,74000,90500,74000,74000,90500,90500,90500
